model,mode,attribute,model_class,magnitude,n,mean_delta_target,median_delta_target,mean_delta_others,median_delta_others,mean_delta_specificity,median_delta_specificity,mean_delta_nearest,median_delta_nearest
mistral,normal,age,adult,20.0,482,-0.06997481617319731,-0.0710080350006029,-0.07045585656579224,-0.071437907126821,0.00048104039259495136,-0.00386020879930446,0.026970954356846474,0.0
mistral,normal,age,older_adult,0.0,482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mistral,normal,age,older_adult,2.0,482,-0.2559161736164447,-0.25940901005924333,-0.2822349642329574,-0.29205617537417305,0.02631879061651272,0.0052935088005141295,-0.06846473029045644,0.0
mistral,normal,age,older_adult,4.0,482,-0.22867952471924385,-0.23884622464424393,-0.25356885046001015,-0.25944336025607045,0.024889325740766306,0.002488699095359523,-0.056016597510373446,0.0
mistral,normal,age,older_adult,6.0,482,-0.21850484711310522,-0.229959737748682,-0.2423116842844603,-0.2519404468261186,0.023806837171355063,0.0024247193179793014,-0.056016597510373446,0.0
mistral,normal,age,older_adult,8.0,482,-0.21289343875914346,-0.22844528302289932,-0.23615088952827604,-0.2500537539979968,0.023257450769132562,0.0016301190854621783,-0.056016597510373446,0.0
mistral,normal,age,older_adult,10.0,482,-0.21031771995847062,-0.22588836832195025,-0.23335390013285215,-0.2421577079116804,0.023036180174381523,0.0017587188612187485,-0.058091286307053944,0.0
mistral,normal,age,older_adult,12.0,482,-0.20792923055027798,-0.2225797121974153,-0.23064623946308022,-0.23827645310989992,0.022717008912802275,0.0013410949999999172,-0.05186721991701245,0.0
mistral,normal,age,older_adult,14.0,482,-0.2058206625185757,-0.22487655381285881,-0.2285564257107172,-0.2378448635531255,0.022735763192141482,0.0016022193179792976,-0.05394190871369295,0.0
mistral,normal,age,older_adult,16.0,482,-0.20438936251277556,-0.22411351515871442,-0.22687460857588643,-0.2357140097926021,0.022485246063110857,0.0016022193179793531,-0.05186721991701245,0.0
mistral,normal,age,older_adult,18.0,482,-0.20349397869139174,-0.22356169859650324,-0.22604917920178713,-0.23659644909115457,0.022555200510395383,0.0016022193179793531,-0.056016597510373446,0.0
mistral,normal,age,older_adult,20.0,482,-0.2032047121251803,-0.22337960302400767,-0.22569279679795884,-0.2348633648722053,0.022488084672778557,0.0016022193179793254,-0.05394190871369295,0.0
mistral,normal,education,some schooling,0.0,486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mistral,normal,education,some schooling,2.0,486,-0.3155472116852007,-0.3196345841878132,-0.237342028570005,-0.21972116897208224,-0.07820518311519573,-0.048208925319880025,0.18518518518518517,0.0
