model,magnitude,summary_level,n,n_qkeys,mean_difference_delta_target,ci95_difference_delta_target,p_two_sided_delta_target,contrastive_better_rate_delta_target,mean_difference_delta_others,ci95_difference_delta_others,p_two_sided_delta_others,mean_difference_delta_specificity,ci95_difference_delta_specificity,p_two_sided_delta_specificity,contrastive_better_rate_delta_specificity,mean_difference_delta_nearest,ci95_difference_delta_nearest,p_two_sided_delta_nearest,contrastive_better_rate_delta_nearest,attribute,model_class
llama,20.0,class,486,486,0.0301545049737264,0.0138962478253975,0.41250680296825915,0.5967078189300411,0.034520445336577776,0.014053220737200082,0.10403836462498221,-0.004365940362851374,0.005759771147243434,0.037193571149492656,0.3786008230452675,0.01440329218106996,0.02644183235799892,0.2857506303730243,0.051440329218107,socioeco,low
llama,0.0,class,486,486,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,socioeco,high
llama,2.0,class,486,486,-0.013643936914933286,0.008255687580739014,1.0716004282093052e-05,0.5740740740740741,-0.01095716991804933,0.007666936364057923,0.0007486987004898481,-0.0026867669968839544,0.004763926391641694,0.2750421866699472,0.3148148148148148,0.00205761316872428,0.020976469770894714,0.8473896596867143,0.02880658436213992,socioeco,high
llama,4.0,class,486,486,-0.014586666789321232,0.021811082553342603,0.22909903532326592,0.5432098765432098,-0.011880405861085562,0.021942170751248435,0.5242737118811015,-0.0027062609282356704,0.009791837220409978,0.08301024800742796,0.40329218106995884,0.024691358024691357,0.03272366914850837,0.13964939861042938,0.08024691358024691,socioeco,high
llama,6.0,class,486,486,-0.0013778536429763677,0.023427951738553505,0.8329139126777299,0.4876543209876543,0.0028531230535637593,0.02373576492327824,0.4596461223596885,-0.004230976696540136,0.0125290302048724,0.8465859182712168,0.3991769547325103,0.03497942386831276,0.03752644150140396,0.06836531288935432,0.10699588477366255,socioeco,high
llama,8.0,class,486,486,-0.03190087564073139,0.01995120410625165,0.0011486738058023342,0.5473251028806584,-0.03523581871295477,0.019625639452924247,0.00026487289570190857,0.0033349430722233605,0.01248902100514815,0.3658334838667471,0.38065843621399176,-0.00205761316872428,0.043667283872088535,0.9263404892511518,0.11934156378600823,socioeco,high
llama,10.0,class,486,486,-0.002455627525257515,0.022526535476090227,0.3019636477858053,0.5267489711934157,-0.013171855085298828,0.022248834125924075,0.006144412616416364,0.010716227560041319,0.013837368296764213,0.01355553050310779,0.3868312757201646,-0.012345679012345678,0.04843246613567553,0.6170750774519738,0.1419753086419753,socioeco,high
llama,12.0,class,486,486,0.07328283024033003,0.025531666445059022,3.084291153917716e-07,0.4094650205761317,0.06218048024394338,0.025607495542135983,5.925044262127469e-05,0.011102349996386644,0.01494166444575574,0.20583166484747184,0.411522633744856,0.0,0.0494438974447522,1.0,0.15432098765432098,socioeco,high
llama,14.0,class,486,486,0.11287804920029594,0.024595825078314062,2.0243972539736088e-17,0.31069958847736623,0.10865685223775512,0.024753308087069728,2.627641615863536e-15,0.004221196962540808,0.01523952450649549,0.45781333258833323,0.4588477366255144,-0.00102880658436214,0.04536092227882531,0.9988979671967947,0.12962962962962962,socioeco,high
llama,16.0,class,486,486,0.10841109592701244,0.020900466133853574,1.2616023139328115e-21,0.2654320987654321,0.11149536857663342,0.02098166174003105,6.201266327299876e-22,-0.0030842726496209736,0.014279438414459162,0.03963013515704203,0.43415637860082307,0.021604938271604937,0.04137229223202861,0.28386328920322645,0.11934156378600823,socioeco,high
llama,18.0,class,486,486,0.07907980779391961,0.016330108329780477,1.0072505072203252e-20,0.25308641975308643,0.084354345239463,0.016505383610860833,5.825950996036346e-23,-0.005274537445543392,0.012226069161747276,0.002753656319475356,0.44650205761316875,0.009259259259259259,0.035929610152646445,0.5756174149391088,0.08641975308641975,socioeco,high
llama,20.0,class,486,486,0.04470616183489956,0.012520565989387942,1.102252826772927e-13,0.32510288065843623,0.05098854216138243,0.012839364847861462,6.387552126141428e-18,-0.006282380326482873,0.010405404030235064,0.0005768276860939504,0.4176954732510288,0.029835390946502057,0.032502205095890406,0.0633309918394652,0.0823045267489712,socioeco,high
mistral,0.0,class,484,484,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,gender,male
mistral,2.0,class,484,484,-0.004732734617589701,0.01421076588662613,0.5061030058324125,0.5,0.025230735863063843,0.01417548067504827,0.0008650786788154299,-0.029963470480653544,0.010060019121389626,3.881783856181271e-08,0.4690082644628099,0.09297520661157024,0.04029709270216346,9.250845979723785e-06,0.15289256198347106,gender,male
mistral,4.0,class,484,484,0.02455090255625383,0.007973179621234498,2.668924030515892e-10,0.3739669421487603,0.03509236017605221,0.007812944777308357,9.958043743986564e-19,-0.010541457619798378,0.004917555950955145,1.2105049354519032e-07,0.44214876033057854,0.04338842975206612,0.02925716092836923,0.003919463169260785,0.07231404958677685,gender,male
mistral,6.0,class,484,484,0.020539899494263346,0.005378278228738737,2.8365120332820186e-16,0.3615702479338843,0.025116132306330044,0.005345031202630955,1.3697691774224114e-22,-0.004576232812066695,0.002807388063540797,9.570687885339333e-07,0.42355371900826444,0.024793388429752067,0.02353372914327051,0.039591763236690385,0.04338842975206612,gender,male
mistral,8.0,class,484,484,0.016231105190299456,0.004525892272329607,1.5721422901678529e-16,0.34297520661157027,0.019660904858188843,0.004520880544876502,6.664623836902432e-22,-0.003429799667889385,0.0021531225553852954,4.296684528267718e-05,0.39669421487603307,0.012396694214876033,0.017163146756300564,0.15729920705028502,0.024793388429752067,gender,male
mistral,10.0,class,484,484,0.01369340919558751,0.004131889858217317,2.665912678609682e-16,0.3512396694214876,0.016392034940462628,0.004131302121686386,7.236597757964623e-21,-0.0026986257448751183,0.0018882905852610752,0.0001555963935840146,0.40289256198347106,0.014462809917355372,0.017622863764649093,0.10829365589900902,0.026859504132231406,gender,male
mistral,12.0,class,484,484,0.011153937140430397,0.0037105035988999214,1.1422175947154207e-15,0.3574380165289256,0.01325211513048623,0.00371600024383645,1.664212665415281e-19,-0.002098177990055832,0.0016981647693222713,0.00010102923538393996,0.39462809917355374,0.010330578512396695,0.016688738133649638,0.22525290636065332,0.022727272727272728,gender,male
mistral,14.0,class,484,484,0.010221019802502876,0.0037010889108958552,5.057321842204829e-14,0.3615702479338843,0.012356373514859582,0.0037062028239940995,9.124057810122699e-18,-0.0021353537123567053,0.0016749153869652096,6.670976059051367e-05,0.3925619834710744,0.004132231404958678,0.016210918585548736,0.6170750774519738,0.01859504132231405,gender,male
mistral,16.0,class,484,484,0.008284668605684246,0.0034961287861331194,8.25330773602821e-13,0.34917355371900827,0.010126006185327224,0.003498948889455906,4.2223820395367404e-16,-0.0018413375796429762,0.0015781432026510717,9.794419551347943e-05,0.4132231404958678,0.004132231404958678,0.015163366046658355,0.5929800980174267,0.01652892561983471,gender,male
mistral,18.0,class,484,484,0.008576554469874617,0.003472011589994464,3.545458134787042e-13,0.36983471074380164,0.010298738344755826,0.003475755764581229,2.7240722234999803e-16,-0.001722183874881215,0.0016055314192546404,0.0009899441924271165,0.3884297520661157,0.002066115702479339,0.015699128438218517,0.7962534147376392,0.01652892561983471,gender,male
