qkey,attribute,channel,magnitude,regime,model_class,own_human_group,distance_own,mean_distance_others,specificity_margin
GAP21Q19_b_W82,age,steered,8.0,Steered N=8,older_adult,65+,1.0788878201653507,0.8280709494669896,0.2508168706983611
GAP21Q19_b_W82,age,steered,10.0,Steered N=10,older_adult,65+,1.0798770712808343,0.8290602005824732,0.2508168706983611
GAP21Q19_b_W82,age,steered,12.0,Steered N=12,older_adult,65+,1.0838753630113163,0.833058492312955,0.2508168706983612
GAP21Q19_b_W82,age,steered,14.0,Steered N=14,older_adult,65+,1.0815569584317744,0.830740087733413,0.25081687069836134
GAP21Q19_b_W82,age,steered,16.0,Steered N=16,older_adult,65+,1.0906837382492387,0.8398668675508775,0.2508168706983612
GAP21Q19_b_W82,age,steered,18.0,Steered N=18,older_adult,65+,1.089254765857275,0.8384378951589139,0.2508168706983612
GAP21Q19_b_W82,age,steered,20.0,Steered N=20,older_adult,65+,1.0902922544777147,0.8394753837793535,0.2508168706983612
GAP21Q19_b_W82,education,declared,,Declared,some schooling,Less than high school,0.5854973099944791,0.6239163049944791,-0.03841899500000001
GAP21Q19_b_W82,education,steered,0.0,Neutral (N=0),some schooling,Less than high school,0.5860162499999999,0.6244352449999999,-0.03841899500000001
GAP21Q19_b_W82,education,steered,2.0,Steered N=2,some schooling,Less than high school,1.006899668908662,1.180732823908662,-0.17383315500000007
GAP21Q19_b_W82,education,steered,4.0,Steered N=4,some schooling,Less than high school,0.9832087033587605,1.1570418583587605,-0.17383315499999996
GAP21Q19_b_W82,education,steered,6.0,Steered N=6,some schooling,Less than high school,0.9569626031814178,1.1307957581814179,-0.17383315500000007
GAP21Q19_b_W82,education,steered,8.0,Steered N=8,some schooling,Less than high school,0.9521058301643402,1.1259389851643404,-0.17383315500000018
GAP21Q19_b_W82,education,steered,10.0,Steered N=10,some schooling,Less than high school,0.9340138927192164,1.1078470477192166,-0.17383315500000018
