attribute,group_a,group_b,channel,magnitude,regime,quartile,n_questions,n_predictions,mean_human_gap,strict_accuracy,strict_accuracy_ci95_low,strict_accuracy_ci95_high,tie_aware_accuracy,fractional_accuracy,chance_accuracy,lift_over_chance,lift_ci95_low,lift_ci95_high,bootstrap_p_lift_le_zero
education,Less than high school,High school graduate,steered,8.0,Steered N=8,Q3,121,242,0.1744355733262929,0.3884297520661157,0.3305785123966942,0.45041322314049587,0.3884297520661157,0.3884297520661157,0.3333333333333333,0.05509641873278237,-0.0027548209366390908,0.11707988980716255,0.031984007996002
education,Less than high school,High school graduate,steered,8.0,Steered N=8,Q4,122,244,0.3434245913780245,0.4344262295081967,0.3729508196721312,0.5,0.4344262295081967,0.4344262295081967,0.3333333333333333,0.10109289617486339,0.03961748633879786,0.16666666666666669,0.0024987506246876563
education,Less than high school,College graduate/some postgrad,steered,8.0,Steered N=8,All,486,972,0.25089930296449475,0.3477366255144033,0.3220164609053498,0.37448559670781895,0.3487654320987654,0.3482510288065844,0.3333333333333333,0.014917695473251058,-0.009773662551440299,0.04115226337448563,0.12993503248375812
education,Less than high school,College graduate/some postgrad,steered,8.0,Steered N=8,Q1,121,242,0.06905410319135591,0.2975206611570248,0.24793388429752067,0.34710743801652894,0.30165289256198347,0.29958677685950413,0.3333333333333333,-0.03374655647382918,-0.08539944903581265,0.017906336088154284,0.9005497251374313
education,Less than high school,College graduate/some postgrad,steered,8.0,Steered N=8,Q2,122,244,0.15552976945782074,0.3401639344262295,0.28688524590163933,0.39344262295081966,0.3401639344262295,0.3401639344262295,0.3333333333333333,0.0068306010928961824,-0.046448087431693985,0.06010928961748635,0.3988005997001499
education,Less than high school,College graduate/some postgrad,steered,8.0,Steered N=8,Q3,121,242,0.26784469192948973,0.3512396694214876,0.30165289256198347,0.4049586776859504,0.3512396694214876,0.3512396694214876,0.3333333333333333,0.017906336088154284,-0.03168044077134985,0.07162534435261708,0.23938030984507747
education,Less than high school,College graduate/some postgrad,steered,8.0,Steered N=8,Q4,122,244,0.5098170094858034,0.4016393442622951,0.35655737704918034,0.44672131147540983,0.4016393442622951,0.4016393442622951,0.3333333333333333,0.06830601092896177,0.02322404371584702,0.11338797814207652,0.0034982508745627187
education,Less than high school,High school graduate,steered,10.0,Steered N=10,All,486,972,0.1685863093397156,0.3816872427983539,0.35185185185185186,0.411522633744856,0.3816872427983539,0.3816872427983539,0.3333333333333333,0.048353909465020606,0.018518518518518545,0.07818930041152267,0.0024987506246876563
education,Less than high school,High school graduate,steered,10.0,Steered N=10,Q1,121,242,0.05022713243882999,0.3760330578512397,0.3140495867768595,0.4380165289256198,0.3760330578512397,0.3760330578512397,0.3333333333333333,0.04269972451790638,-0.019283746556473802,0.1046831955922865,0.08695652173913043
education,Less than high school,High school graduate,steered,10.0,Steered N=10,Q2,122,244,0.10533572781477823,0.3442622950819672,0.29508196721311475,0.4016393442622951,0.3442622950819672,0.3442622950819672,0.3333333333333333,0.010928961748633892,-0.038251366120218566,0.06830601092896177,0.3378310844577711
