attribute,channel,layer,decoder_layer,validation_accuracy,balanced_accuracy,macro_f1,validation_loss,majority_baseline,accuracy_over_baseline,best_epoch,train_examples,validation_examples,checkpoint,rank
education,reading,4,3,0.7811111111111111,0.7811111111111111,0.7735776815689867,0.4077517092227936,0.3333333333333333,0.4477777777777778,50,3599,900,education_probe_at_layer_4.pth,32
education,reading,0,-1,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.6365142265955607,0.3333333333333333,0.0,45,3599,900,education_probe_at_layer_0.pth,33
socioeconomic,reading,32,31,0.9733333333333334,0.9733333333333333,0.9733160829020725,0.06052854905525843,0.3333333333333333,0.6400000000000001,37,2400,600,socioeconomic_probe_at_layer_32.pth,1
socioeconomic,reading,23,22,0.97,0.9700000000000001,0.9700907147377499,0.05819447214404742,0.3333333333333333,0.6366666666666667,47,2400,600,socioeconomic_probe_at_layer_23.pth,2
socioeconomic,reading,24,23,0.97,0.9700000000000001,0.9700907147377499,0.0580379789074262,0.3333333333333333,0.6366666666666667,44,2400,600,socioeconomic_probe_at_layer_24.pth,3
socioeconomic,reading,25,24,0.97,0.9700000000000001,0.9700907147377499,0.057848030080397926,0.3333333333333333,0.6366666666666667,50,2400,600,socioeconomic_probe_at_layer_25.pth,4
socioeconomic,reading,26,25,0.97,0.9700000000000001,0.9700907147377499,0.05840375026067098,0.3333333333333333,0.6366666666666667,49,2400,600,socioeconomic_probe_at_layer_26.pth,5
socioeconomic,reading,27,26,0.97,0.9700000000000001,0.9700907147377499,0.05694825078050295,0.3333333333333333,0.6366666666666667,48,2400,600,socioeconomic_probe_at_layer_27.pth,6
socioeconomic,reading,28,27,0.97,0.9700000000000001,0.9700907147377499,0.056287514666716255,0.3333333333333333,0.6366666666666667,45,2400,600,socioeconomic_probe_at_layer_28.pth,7
socioeconomic,reading,29,28,0.97,0.9700000000000001,0.9700907147377499,0.057990564654270806,0.3333333333333333,0.6366666666666667,40,2400,600,socioeconomic_probe_at_layer_29.pth,8
socioeconomic,reading,30,29,0.97,0.9700000000000001,0.9700907147377499,0.057906631380319595,0.3333333333333333,0.6366666666666667,38,2400,600,socioeconomic_probe_at_layer_30.pth,9
socioeconomic,reading,31,30,0.97,0.9700000000000001,0.9700746823248649,0.06144872431953748,0.3333333333333333,0.6366666666666667,28,2400,600,socioeconomic_probe_at_layer_31.pth,10
socioeconomic,reading,22,21,0.9683333333333334,0.9683333333333333,0.9684332060795836,0.05992734928925832,0.3333333333333333,0.635,46,2400,600,socioeconomic_probe_at_layer_22.pth,11
socioeconomic,reading,20,19,0.9666666666666667,0.9666666666666667,0.9668099498654713,0.062494032084941864,0.3333333333333333,0.6333333333333333,49,2400,600,socioeconomic_probe_at_layer_20.pth,12
socioeconomic,reading,21,20,0.9666666666666667,0.9666666666666667,0.9667750041729404,0.06162347892920176,0.3333333333333333,0.6333333333333333,44,2400,600,socioeconomic_probe_at_layer_21.pth,13
socioeconomic,reading,16,15,0.9616666666666667,0.9616666666666666,0.9619437177466764,0.09722242007652919,0.3333333333333333,0.6283333333333334,50,2400,600,socioeconomic_probe_at_layer_16.pth,14
socioeconomic,reading,19,18,0.9616666666666667,0.9616666666666666,0.9619083328718786,0.06685992951194446,0.3333333333333333,0.6283333333333334,50,2400,600,socioeconomic_probe_at_layer_19.pth,15
socioeconomic,reading,17,16,0.9583333333333334,0.9583333333333334,0.9586805312056385,0.08380299185713132,0.3333333333333333,0.625,42,2400,600,socioeconomic_probe_at_layer_17.pth,16
socioeconomic,reading,18,17,0.9583333333333334,0.9583333333333334,0.9587102238221189,0.07275930047035217,0.3333333333333333,0.625,48,2400,600,socioeconomic_probe_at_layer_18.pth,17
socioeconomic,reading,15,14,0.9533333333333334,0.9533333333333333,0.9534992089776014,0.13751650104920068,0.3333333333333333,0.6200000000000001,50,2400,600,socioeconomic_probe_at_layer_15.pth,18
socioeconomic,reading,14,13,0.9416666666666667,0.9416666666666668,0.9418503969367423,0.16028756399949393,0.3333333333333333,0.6083333333333334,48,2400,600,socioeconomic_probe_at_layer_14.pth,19
socioeconomic,reading,13,12,0.9333333333333333,0.9333333333333332,0.9336185550429122,0.17852758367856345,0.3333333333333333,0.6000000000000001,50,2400,600,socioeconomic_probe_at_layer_13.pth,20
socioeconomic,reading,12,11,0.9233333333333333,0.9233333333333333,0.9236554685490002,0.20630412300427756,0.3333333333333333,0.5900000000000001,50,2400,600,socioeconomic_probe_at_layer_12.pth,21
socioeconomic,reading,11,10,0.91,0.91,0.9100637732304823,0.2334189017613729,0.3333333333333333,0.5766666666666667,49,2400,600,socioeconomic_probe_at_layer_11.pth,22
socioeconomic,reading,10,9,0.9033333333333333,0.9033333333333333,0.9029594598329411,0.24423428873221079,0.3333333333333333,0.5700000000000001,50,2400,600,socioeconomic_probe_at_layer_10.pth,23
socioeconomic,reading,9,8,0.885,0.8849999999999999,0.884499348044924,0.2859342396259308,0.3333333333333333,0.5516666666666667,50,2400,600,socioeconomic_probe_at_layer_9.pth,24
socioeconomic,reading,8,7,0.8683333333333333,0.8683333333333333,0.8672217974543556,0.3132287363211314,0.3333333333333333,0.5349999999999999,48,2400,600,socioeconomic_probe_at_layer_8.pth,25
socioeconomic,reading,7,6,0.855,0.855,0.8546205877474479,0.33932411670684814,0.3333333333333333,0.5216666666666667,50,2400,600,socioeconomic_probe_at_layer_7.pth,26
socioeconomic,reading,6,5,0.84,0.84,0.8377406819704504,0.37102020780245465,0.3333333333333333,0.5066666666666666,49,2400,600,socioeconomic_probe_at_layer_6.pth,27
socioeconomic,reading,2,1,0.81,0.81,0.8047908266171427,0.6220301787058512,0.3333333333333333,0.47666666666666674,15,2400,600,socioeconomic_probe_at_layer_2.pth,28
socioeconomic,reading,3,2,0.8083333333333333,0.8083333333333332,0.8043475957840328,0.580163578192393,0.3333333333333333,0.47500000000000003,28,2400,600,socioeconomic_probe_at_layer_3.pth,29
socioeconomic,reading,1,0,0.7883333333333333,0.7883333333333334,0.7759049777002276,0.6095072428385416,0.3333333333333333,0.455,35,2400,600,socioeconomic_probe_at_layer_1.pth,30
socioeconomic,reading,5,4,0.785,0.785,0.7784810589480332,0.43932005763053894,0.3333333333333333,0.4516666666666667,49,2400,600,socioeconomic_probe_at_layer_5.pth,31
socioeconomic,reading,4,3,0.7766666666666666,0.7766666666666667,0.7705309093576096,0.46897202730178833,0.3333333333333333,0.4433333333333333,50,2400,600,socioeconomic_probe_at_layer_4.pth,32
socioeconomic,reading,0,-1,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.6365142663319906,0.3333333333333333,0.0,34,2400,600,socioeconomic_probe_at_layer_0.pth,33
gender,controlling,31,30,0.8979166666666667,0.8979166666666667,0.8978949516173145,0.2956342746814092,0.5,0.3979166666666667,50,1920,480,gender_probe_at_layer_31.pth,1
gender,controlling,32,31,0.8979166666666667,0.8979166666666667,0.8979162235947205,0.3097631906469663,0.5,0.3979166666666667,30,1920,480,gender_probe_at_layer_32.pth,2
gender,controlling,30,29,0.8958333333333334,0.8958333333333334,0.8958315248528621,0.3085064540306727,0.5,0.39583333333333337,46,1920,480,gender_probe_at_layer_30.pth,3
gender,controlling,28,27,0.8875,0.8875,0.8873748609566183,0.33604348450899124,0.5,0.38749999999999996,45,1920,480,gender_probe_at_layer_28.pth,4
gender,controlling,29,28,0.8875,0.8875,0.887498046841091,0.31560441851615906,0.5,0.38749999999999996,48,1920,480,gender_probe_at_layer_29.pth,5
gender,controlling,27,26,0.8854166666666666,0.8854166666666667,0.8853922926316795,0.3313204323252042,0.5,0.38541666666666663,49,1920,480,gender_probe_at_layer_27.pth,6
gender,controlling,25,24,0.88125,0.8812500000000001,0.8810222691871161,0.3410796696941058,0.5,0.38125,50,1920,480,gender_probe_at_layer_25.pth,7
gender,controlling,26,25,0.88125,0.8812500000000001,0.8812247396364679,0.3368574430545171,0.5,0.38125,48,1920,480,gender_probe_at_layer_26.pth,8
gender,controlling,24,23,0.875,0.875,0.8749218261413383,0.35628138730923337,0.5,0.375,46,1920,480,gender_probe_at_layer_24.pth,9
gender,controlling,23,22,0.86875,0.86875,0.868585161074438,0.36809244751930237,0.5,0.36875,47,1920,480,gender_probe_at_layer_23.pth,10
gender,controlling,22,21,0.8604166666666667,0.8604166666666666,0.8603869746604096,0.37260762602090836,0.5,0.3604166666666667,50,1920,480,gender_probe_at_layer_22.pth,11
