attribute,class_label,magnitude,mean_entropy_nats,mean_normalized_entropy,mean_effective_options,mean_top_mass,mean_nonordinal_mass,mean_top_is_nonordinal,mean_top_mass_ge_0_9,mean_near_uniform,mean_low_entropy,n_questions
education,high school,8.0,0.1320928418151385,0.09728004649238851,1.1820121074654943,0.9497443437819674,0.0017318605690221473,0.0020242914979757085,0.8461538461538461,0.0,0.7408906882591093,494
education,high school,10.0,0.14597781591916048,0.10729073534268052,1.2045313672431155,0.9427643101053149,0.0017929498466617518,0.0020242914979757085,0.8299595141700404,0.0,0.7246963562753036,494
education,high school,12.0,0.1681488134660068,0.12348704467293796,1.2379451375866202,0.9311790871903268,0.0015924427558337395,0.0020242914979757085,0.7874493927125507,0.0,0.7024291497975709,494
education,high school,14.0,0.20037514151103142,0.14757146170981045,1.285426655799775,0.9168242474787577,0.0011206342206892923,0.0020242914979757085,0.7550607287449392,0.0,0.6578947368421053,494
education,high school,16.0,0.23960684070730554,0.17704506903711756,1.344012936949824,0.9006160812436946,0.0005964009701199799,0.0,0.6983805668016194,0.0020242914979757085,0.597165991902834,494
education,high school,18.0,0.27997378149126756,0.20827561374220285,1.4013147566005184,0.888767888607305,0.0004591688388946008,0.0,0.6619433198380567,0.0020242914979757085,0.5161943319838057,494
education,high school,20.0,0.31477459736635804,0.23631134291835296,1.452919471644236,0.8737649891504109,0.0006896325135688063,0.0,0.6295546558704453,0.0020242914979757085,0.43724696356275305,494
education,some schooling,0.0,0.12512517339883292,0.09391702927633866,1.1667563447402107,0.949078595855762,0.0007711739198383008,0.0,0.8299595141700404,0.0,0.757085020242915,494
education,some schooling,2.0,0.12247405097374105,0.09238245819072552,1.1635032397971132,0.9497888010308536,0.0008931660187375984,0.0,0.8360323886639676,0.0,0.7530364372469636,494
education,some schooling,4.0,0.12151646401495728,0.09221293146607713,1.1634988072908155,0.9495406005247611,0.000895086682779576,0.0,0.8441295546558705,0.0020242914979757085,0.7672064777327935,494
education,some schooling,6.0,0.12139206703792342,0.0924455875915566,1.1636595773376932,0.9486032524120229,0.0012763435328502072,0.0020242914979757085,0.8502024291497976,0.004048582995951417,0.7611336032388664,494
education,some schooling,8.0,0.12783951045334477,0.09714940884559929,1.172635104477618,0.9452238416878003,0.0015333645381285068,0.0020242914979757085,0.8421052631578947,0.0020242914979757085,0.757085020242915,494
education,some schooling,10.0,0.13660512813947726,0.10389284351586126,1.184203480492175,0.9424714289101725,0.0020011852334878857,0.0020242914979757085,0.8259109311740891,0.0020242914979757085,0.728744939271255,494
education,some schooling,12.0,0.14786351823831773,0.11274011163630512,1.1999323659139522,0.9388918186306273,0.002485504799771177,0.0020242914979757085,0.8157894736842105,0.0,0.7064777327935222,494
education,some schooling,14.0,0.15744258026732913,0.11944755644177248,1.2092002291747983,0.9368585099924525,0.003137283137483547,0.0020242914979757085,0.8218623481781376,0.0,0.6761133603238867,494
education,some schooling,16.0,0.18256833007597092,0.13697325157321694,1.2484023613741162,0.9262339307013818,0.0039061268695329047,0.004048582995951417,0.7793522267206477,0.0020242914979757085,0.6417004048582996,494
education,some schooling,18.0,0.2267750713300522,0.17014292881142407,1.3219025456856037,0.9095571682540207,0.005299100664679405,0.004048582995951417,0.7226720647773279,0.0020242914979757085,0.6032388663967612,494
education,some schooling,20.0,0.2866619952536208,0.21483450548110958,1.4222967564919784,0.8859842966034186,0.007763913120284794,0.010121457489878543,0.6862348178137652,0.006072874493927126,0.5182186234817814,494
gender,female,0.0,0.12512517339883292,0.09391702927633866,1.1667563447402107,0.949078595855762,0.0007711739198383008,0.0,0.8299595141700404,0.0,0.757085020242915,494
gender,female,2.0,0.13178795503084395,0.09917049127198435,1.1783973530525083,0.9453286533764259,0.0007712067608590469,0.0,0.8319838056680162,0.0,0.742914979757085,494
gender,female,4.0,0.13698030343274015,0.10367145077851832,1.1867613548690668,0.9439937988653503,0.0006587212469164129,0.0,0.8279352226720648,0.0020242914979757085,0.7327935222672065,494
gender,female,6.0,0.14177106918552465,0.10740169212115458,1.1946725269515415,0.9422892544365912,0.0004634718419483046,0.0,0.8299595141700404,0.0020242914979757085,0.7307692307692307,494
gender,female,8.0,0.15131287388784895,0.11503305645462052,1.2086899157236866,0.9371186376664286,0.0002567530053288795,0.0,0.8178137651821862,0.006072874493927126,0.708502024291498,494
gender,female,10.0,0.16143218782097668,0.12290879293284356,1.2231551209468414,0.932033300378373,0.00016955398246236303,0.0,0.8137651821862348,0.0020242914979757085,0.694331983805668,494
gender,female,12.0,0.1693272239402528,0.1289597319825212,1.2331971345408097,0.9291522330277381,8.844491572306535e-05,0.0,0.7975708502024291,0.004048582995951417,0.6821862348178138,494
gender,female,14.0,0.17901264608571218,0.13639945193373545,1.245872690468761,0.924411993595697,4.740620983736591e-05,0.0,0.7793522267206477,0.004048582995951417,0.6659919028340081,494
gender,female,16.0,0.18652238832289794,0.14168433131695546,1.256221868661512,0.9215683934257844,2.130795531074274e-05,0.0,0.7550607287449392,0.0020242914979757085,0.6538461538461539,494
gender,female,18.0,0.19175131539461646,0.1449839757013278,1.264243409444917,0.9192450865056626,1.464338049981802e-05,0.0,0.7489878542510121,0.0020242914979757085,0.645748987854251,494
gender,female,20.0,0.19767735091023383,0.14887839215316803,1.27423006711903,0.9167437697783888,9.053522065175317e-06,0.0,0.7631578947368421,0.0020242914979757085,0.6295546558704453,494
gender,male,0.0,0.12512517339883292,0.09391702927633866,1.1667563447402107,0.949078595855762,0.0007711739198383008,0.0,0.8299595141700404,0.0,0.757085020242915,494
gender,male,2.0,0.12714667250620065,0.0944057776098423,1.171309536797565,0.9480260091372028,0.0006558069756006072,0.0,0.8461538461538461,0.0,0.7591093117408907,494
gender,male,4.0,0.12855316691859628,0.09471263438218447,1.1743169457548688,0.9464100980111682,0.0005504240912345308,0.0,0.8461538461538461,0.0,0.7510121457489879,494
gender,male,6.0,0.13372752234159926,0.09805547284104568,1.1813043583624994,0.9459236933588953,0.00038108242454143774,0.0,0.8441295546558705,0.0,0.7348178137651822,494
gender,male,8.0,0.14216178770754648,0.10418043759543968,1.1936103474615918,0.9427253773014128,0.00031471405396270335,0.0,0.8238866396761133,0.0,0.728744939271255,494
