qkey,attribute,class_label,group,channel,magnitude,wasserstein,total_variation
GROWUPGUN2A_W26,socioeco,mid,"$50,000-$75,000",steered,1.0,0.12548455080906606,0.12548455080906612
GROWUPGUN2A_W26,socioeco,mid,"$50,000-$75,000",steered,3.0,0.0680594921272849,0.06805949212728488
GROWUPGUN2A_W26,socioeco,mid,"$50,000-$75,000",steered,5.0,0.04742805274622808,0.04742805274622805
GROWUPGUN2A_W26,socioeco,mid,"$50,000-$75,000",steered,7.0,0.018632043610108284,0.018632043610108312
GROWUPGUN2A_W26,socioeco,mid,"$50,000-$75,000",steered,9.0,0.006671850000000035,0.006671850000000007
GROWUPGUN2A_W26,socioeco,mid,"$50,000-$75,000",steered,13.0,0.008372370000000018,0.008372370000000018
GROWUPGUN2A_W26,socioeco,high,"$100,000 or more",steered,0.0,0.12986527049465968,0.12986527049465965
GROWUPGUN2A_W26,socioeco,high,"$100,000 or more",steered,1.0,0.11215447992667182,0.11215447992667185
GROWUPGUN2A_W26,socioeco,high,"$100,000 or more",steered,3.0,0.02086596555063902,0.020865965550639076
GROWUPGUN2A_W26,socioeco,high,"$100,000 or more",steered,5.0,0.11185785324296593,0.11185785324296593
GROWUPGUN2A_W26,socioeco,high,"$100,000 or more",steered,7.0,0.16884021,0.16884020999999996
GROWUPGUN2A_W26,socioeco,high,"$100,000 or more",steered,9.0,0.14831204570131967,0.1483120457013197
GROWUPGUN2A_W26,socioeco,high,"$100,000 or more",steered,13.0,0.04173194570131977,0.041731945701319745
GROWUPGUN2B_W26,gender,male,Male,steered,0.0,0.22983998932083316,0.2298399893208332
GROWUPGUN2B_W26,gender,male,Male,steered,1.0,0.19437070793228073,0.19437070793228073
GROWUPGUN2B_W26,gender,male,Male,steered,3.0,0.10338883999999993,0.10338883999999997
GROWUPGUN2B_W26,gender,male,Male,steered,5.0,0.033208332063549784,0.03320833206354981
GROWUPGUN2B_W26,gender,male,Male,steered,7.0,0.013774911308105264,0.013774911308105181
GROWUPGUN2B_W26,gender,male,Male,steered,9.0,0.014613330000000091,0.014613330000000035
GROWUPGUN2B_W26,gender,male,Male,steered,13.0,0.0023235311370057854,0.002323531137005813
GROWUPGUN2B_W26,gender,female,Female,steered,0.0,0.29967354932083323,0.29967354932083323
GROWUPGUN2B_W26,gender,female,Female,steered,1.0,0.2733302228278002,0.2733302228278002
GROWUPGUN2B_W26,gender,female,Female,steered,3.0,0.22150298269563762,0.22150298269563762
GROWUPGUN2B_W26,gender,female,Female,steered,5.0,0.21199924533227055,0.21199924533227052
GROWUPGUN2B_W26,gender,female,Female,steered,7.0,0.14421317223377073,0.14421317223377067
GROWUPGUN2B_W26,gender,female,Female,steered,9.0,0.0044585699999999395,0.004458569999999967
GROWUPGUN2B_W26,gender,female,Female,steered,13.0,0.2325980980056498,0.2325980980056498
GROWUPGUN2B_W26,age,adult,30-49,steered,0.0,0.34096217932083317,0.34096217932083317
GROWUPGUN2B_W26,age,adult,30-49,steered,1.0,0.31569715372726825,0.31569715372726825
GROWUPGUN2B_W26,age,adult,30-49,steered,3.0,0.2089467519993211,0.2089467519993211
GROWUPGUN2B_W26,age,adult,30-49,steered,5.0,0.0031780600000000936,0.003178060000000038
GROWUPGUN2B_W26,age,adult,30-49,steered,7.0,0.23288036000000006,0.23288036
GROWUPGUN2B_W26,age,adult,30-49,steered,9.0,0.3158940317431868,0.3158940317431868
GROWUPGUN2B_W26,age,adult,30-49,steered,13.0,0.27817400877682796,0.27817400877682785
GROWUPGUN2B_W26,age,older_adult,65+,steered,0.0,0.09346874932083327,0.09346874932083324
GROWUPGUN2B_W26,age,older_adult,65+,steered,1.0,0.10668392000000004,0.10668392000000002
GROWUPGUN2B_W26,age,older_adult,65+,steered,3.0,0.11306935758419634,0.11306935758419635
GROWUPGUN2B_W26,age,older_adult,65+,steered,5.0,0.09601965326828898,0.0960196532682889
GROWUPGUN2B_W26,age,older_adult,65+,steered,7.0,0.01819771286375449,0.018197712863754406
GROWUPGUN2B_W26,age,older_adult,65+,steered,9.0,0.07442615999999991,0.07442615999999995
GROWUPGUN2B_W26,age,older_adult,65+,steered,13.0,0.08442302770957699,0.08442302770957706
GROWUPGUN2B_W26,education,some schooling,Less than high school,steered,0.0,0.2553953293208332,0.2553953293208332
GROWUPGUN2B_W26,education,some schooling,Less than high school,steered,1.0,0.2678480811092785,0.2678480811092785
GROWUPGUN2B_W26,education,some schooling,Less than high school,steered,3.0,0.2641561335493525,0.2641561335493525
GROWUPGUN2B_W26,education,some schooling,Less than high school,steered,5.0,0.21680741680486215,0.21680741680486218
GROWUPGUN2B_W26,education,some schooling,Less than high school,steered,7.0,0.10993484573245671,0.10993484573245668
GROWUPGUN2B_W26,education,some schooling,Less than high school,steered,9.0,0.07790647796344541,0.07790647796344538
GROWUPGUN2B_W26,education,some schooling,Less than high school,steered,13.0,0.3446246899237981,0.344624689923798
GROWUPGUN2B_W26,education,high school,High school graduate,steered,0.0,0.16813655932083327,0.16813655932083324
GROWUPGUN2B_W26,education,high school,High school graduate,steered,1.0,0.182402541073014,0.182402541073014
GROWUPGUN2B_W26,education,high school,High school graduate,steered,3.0,0.20230486932503267,0.2023048693250326
GROWUPGUN2B_W26,education,high school,High school graduate,steered,5.0,0.20125444965201222,0.20125444965201217
GROWUPGUN2B_W26,education,high school,High school graduate,steered,7.0,0.18434561310245778,0.1843456131024577
GROWUPGUN2B_W26,education,high school,High school graduate,steered,9.0,0.16974148801064748,0.16974148801064745
GROWUPGUN2B_W26,education,high school,High school graduate,steered,13.0,0.15612771840148965,0.1561277184014896
GROWUPGUN2B_W26,education,college and more,College graduate/some postgrad,steered,0.0,0.31807293932083325,0.31807293932083325
GROWUPGUN2B_W26,education,college and more,College graduate/some postgrad,steered,1.0,0.2915627409442688,0.2915627409442688
GROWUPGUN2B_W26,education,college and more,College graduate/some postgrad,steered,3.0,0.11396505000000001,0.11396504999999998
GROWUPGUN2B_W26,education,college and more,College graduate/some postgrad,steered,5.0,0.29446446,0.29446446
GROWUPGUN2B_W26,education,college and more,College graduate/some postgrad,steered,7.0,0.4976486065091468,0.4976486065091468
GROWUPGUN2B_W26,education,college and more,College graduate/some postgrad,steered,9.0,0.5401806744297823,0.5401806744297823
GROWUPGUN2B_W26,education,college and more,College graduate/some postgrad,steered,13.0,0.545721847951344,0.5457218479513442
GROWUPGUN2B_W26,socioeco,low,"Less than $30,000",steered,0.0,0.27934820932083326,0.27934820932083326
GROWUPGUN2B_W26,socioeco,low,"Less than $30,000",steered,1.0,0.3005834109336296,0.3005834109336296
GROWUPGUN2B_W26,socioeco,low,"Less than $30,000",steered,3.0,0.30676211918994456,0.30676211918994456
GROWUPGUN2B_W26,socioeco,low,"Less than $30,000",steered,5.0,0.2869018775854796,0.2869018775854795
GROWUPGUN2B_W26,socioeco,low,"Less than $30,000",steered,7.0,0.26526859327985186,0.26526859327985186
GROWUPGUN2B_W26,socioeco,low,"Less than $30,000",steered,9.0,0.26816134158207106,0.268161341582071
GROWUPGUN2B_W26,socioeco,low,"Less than $30,000",steered,13.0,0.2859252418401894,0.2859252418401894
GROWUPGUN2B_W26,socioeco,mid,"$50,000-$75,000",steered,0.0,0.1933276393208332,0.1933276393208332
GROWUPGUN2B_W26,socioeco,mid,"$50,000-$75,000",steered,1.0,0.15929779898053475,0.15929779898053475
GROWUPGUN2B_W26,socioeco,mid,"$50,000-$75,000",steered,3.0,0.036168547749242275,0.03616854774924226
GROWUPGUN2B_W26,socioeco,mid,"$50,000-$75,000",steered,5.0,0.14103041000000005,0.14103041000000005
GROWUPGUN2B_W26,socioeco,mid,"$50,000-$75,000",steered,7.0,0.19637714000000006,0.19637714000000003
GROWUPGUN2B_W26,socioeco,mid,"$50,000-$75,000",steered,9.0,0.17934529,0.17934529000000002
GROWUPGUN2B_W26,socioeco,mid,"$50,000-$75,000",steered,13.0,0.18500907322479654,0.18500907322479648
GROWUPGUN2B_W26,socioeco,high,"$100,000 or more",steered,0.0,0.28773897932083325,0.28773897932083325
GROWUPGUN2B_W26,socioeco,high,"$100,000 or more",steered,1.0,0.2639486936682788,0.2639486936682787
GROWUPGUN2B_W26,socioeco,high,"$100,000 or more",steered,3.0,0.0254004899076552,0.025400489907655116
GROWUPGUN2B_W26,socioeco,high,"$100,000 or more",steered,5.0,0.3653023683712591,0.3653023683712591
GROWUPGUN2B_W26,socioeco,high,"$100,000 or more",steered,7.0,0.47766894166675394,0.477668941666754
GROWUPGUN2B_W26,socioeco,high,"$100,000 or more",steered,9.0,0.46824020999999993,0.46824020999999993
GROWUPGUN2B_W26,socioeco,high,"$100,000 or more",steered,13.0,0.18381285381594448,0.18381285381594456
GROWUPGUN2C_W26,gender,male,Male,steered,0.0,0.39828230606788084,0.39828230606788084
GROWUPGUN2C_W26,gender,male,Male,steered,1.0,0.3610640500000001,0.36106405
GROWUPGUN2C_W26,gender,male,Male,steered,3.0,0.23256168,0.23256168
GROWUPGUN2C_W26,gender,male,Male,steered,5.0,0.17494547094062352,0.17494547094062346
GROWUPGUN2C_W26,gender,male,Male,steered,7.0,0.17986275217628378,0.17986275217628375
GROWUPGUN2C_W26,gender,male,Male,steered,9.0,0.17576820903469448,0.17576820903469445
GROWUPGUN2C_W26,gender,male,Male,steered,13.0,0.18270973000000001,0.18270973
GROWUPGUN2C_W26,gender,female,Female,steered,0.0,0.5239607960678808,0.5239607960678808
GROWUPGUN2C_W26,gender,female,Female,steered,1.0,0.5113831145610032,0.5113831145610033
GROWUPGUN2C_W26,gender,female,Female,steered,3.0,0.4859398506669337,0.4859398506669337
GROWUPGUN2C_W26,gender,female,Female,steered,5.0,0.4634409486083777,0.4634409486083777
GROWUPGUN2C_W26,gender,female,Female,steered,7.0,0.36889683532587314,0.36889683532587314
GROWUPGUN2C_W26,gender,female,Female,steered,9.0,0.21769103154736447,0.21769103154736447
GROWUPGUN2C_W26,gender,female,Female,steered,13.0,0.004594238215922475,0.004594238215922503
GROWUPGUN2C_W26,age,adult,30-49,steered,0.0,0.4005841360678808,0.4005841360678808
GROWUPGUN2C_W26,age,adult,30-49,steered,1.0,0.37364767105578855,0.3736476710557885
GROWUPGUN2C_W26,age,adult,30-49,steered,3.0,0.2600561743834069,0.2600561743834069
GROWUPGUN2C_W26,age,adult,30-49,steered,5.0,0.0230590273700495,0.023059027370049556
GROWUPGUN2C_W26,age,adult,30-49,steered,7.0,0.21070618000000002,0.21070618
GROWUPGUN2C_W26,age,adult,30-49,steered,9.0,0.2746933573824037,0.27469335738240364
GROWUPGUN2C_W26,age,adult,30-49,steered,13.0,0.2475870681955924,0.24758706819559234
GROWUPGUN2C_W26,age,older_adult,65+,steered,0.0,0.5362347060678808,0.5362347060678808
GROWUPGUN2C_W26,age,older_adult,65+,steered,1.0,0.5473918759508872,0.5473918759508871
GROWUPGUN2C_W26,age,older_adult,65+,steered,3.0,0.56007449,0.56007449
GROWUPGUN2C_W26,age,older_adult,65+,steered,5.0,0.5660193085342666,0.5660193085342666
GROWUPGUN2C_W26,age,older_adult,65+,steered,7.0,0.5468366693195958,0.5468366693195958
GROWUPGUN2C_W26,age,older_adult,65+,steered,9.0,0.5001123045905915,0.5001123045905915
GROWUPGUN2C_W26,age,older_adult,65+,steered,13.0,0.43649443356765316,0.43649443356765316
GROWUPGUN2C_W26,education,some schooling,Less than high school,steered,0.0,0.4806547960678808,0.48065479606788075
GROWUPGUN2C_W26,education,some schooling,Less than high school,steered,1.0,0.49776044999999997,0.49776044999999997
GROWUPGUN2C_W26,education,some schooling,Less than high school,steered,3.0,0.5013257882608584,0.5013257882608583
GROWUPGUN2C_W26,education,some schooling,Less than high school,steered,5.0,0.46742739183739573,0.46742739183739573
GROWUPGUN2C_W26,education,some schooling,Less than high school,steered,7.0,0.37452967554302513,0.3745296755430251
GROWUPGUN2C_W26,education,some schooling,Less than high school,steered,9.0,0.1927074373317948,0.19270743733179482
GROWUPGUN2C_W26,education,some schooling,Less than high school,steered,13.0,0.11998791075710546,0.11998791075710546
GROWUPGUN2C_W26,education,high school,High school graduate,steered,0.0,0.4488346160678808,0.4488346160678808
GROWUPGUN2C_W26,education,high school,High school graduate,steered,1.0,0.45617733500902347,0.45617733500902347
GROWUPGUN2C_W26,education,high school,High school graduate,steered,3.0,0.4564999792902297,0.45649997929022973
GROWUPGUN2C_W26,education,high school,High school graduate,steered,5.0,0.42134356424533737,0.42134356424533737
GROWUPGUN2C_W26,education,high school,High school graduate,steered,7.0,0.3890152041538538,0.3890152041538538
GROWUPGUN2C_W26,education,high school,High school graduate,steered,9.0,0.39235907594646224,0.39235907594646224
GROWUPGUN2C_W26,education,high school,High school graduate,steered,13.0,0.4187214189124442,0.4187214189124442
GROWUPGUN2C_W26,education,college and more,College graduate/some postgrad,steered,0.0,0.4661778660678808,0.4661778660678808
GROWUPGUN2C_W26,education,college and more,College graduate/some postgrad,steered,1.0,0.4293591557730546,0.42935915577305467
GROWUPGUN2C_W26,education,college and more,College graduate/some postgrad,steered,3.0,0.2076167301161056,0.20761673011610562
GROWUPGUN2C_W26,education,college and more,College graduate/some postgrad,steered,5.0,0.1946021743653455,0.19460217436534546
GROWUPGUN2C_W26,education,college and more,College graduate/some postgrad,steered,7.0,0.35447813503508074,0.35447813503508074
GROWUPGUN2C_W26,education,college and more,College graduate/some postgrad,steered,9.0,0.3900522039076528,0.3900522039076527
GROWUPGUN2C_W26,education,college and more,College graduate/some postgrad,steered,13.0,0.3935301263010226,0.3935301263010226
GROWUPGUN2C_W26,socioeco,low,"Less than $30,000",steered,0.0,0.4385289560678808,0.4385289560678808
GROWUPGUN2C_W26,socioeco,low,"Less than $30,000",steered,1.0,0.4639897278727355,0.4639897278727355
GROWUPGUN2C_W26,socioeco,low,"Less than $30,000",steered,3.0,0.47349048043680864,0.47349048043680864
GROWUPGUN2C_W26,socioeco,low,"Less than $30,000",steered,5.0,0.4423168040116371,0.4423168040116371
GROWUPGUN2C_W26,socioeco,low,"Less than $30,000",steered,7.0,0.39949784646979514,0.39949784646979514
GROWUPGUN2C_W26,socioeco,low,"Less than $30,000",steered,9.0,0.40121062884039294,0.40121062884039294
GROWUPGUN2C_W26,socioeco,low,"Less than $30,000",steered,13.0,0.4389524784356228,0.4389524784356228
GROWUPGUN2C_W26,socioeco,mid,"$50,000-$75,000",steered,0.0,0.4644347060678808,0.46443470606788084
GROWUPGUN2C_W26,socioeco,mid,"$50,000-$75,000",steered,1.0,0.4156960850952402,0.41569608509524025
GROWUPGUN2C_W26,socioeco,mid,"$50,000-$75,000",steered,3.0,0.26989067819559226,0.2698906781955923
GROWUPGUN2C_W26,socioeco,mid,"$50,000-$75,000",steered,5.0,0.10489301000000001,0.10489301000000004
GROWUPGUN2C_W26,socioeco,mid,"$50,000-$75,000",steered,7.0,0.04576260983886876,0.045762609838868845
GROWUPGUN2C_W26,socioeco,mid,"$50,000-$75,000",steered,9.0,0.05381762532221607,0.053817625322216095
GROWUPGUN2C_W26,socioeco,mid,"$50,000-$75,000",steered,13.0,0.04405363497070364,0.044053634970703665
GROWUPGUN2C_W26,socioeco,high,"$100,000 or more",steered,0.0,0.4581125260678808,0.4581125260678808
