qkey,attribute,class_label,group,channel,magnitude,wasserstein,total_variation
GUNCONTRIBC_W26,gender,male,Male,declared,,0.8013724301834674,0.5398817595324765
GUNCONTRIBC_W26,gender,female,Female,declared,,0.37150528159486357,0.3691351024080792
GUNCONTRIBC_W26,age,adult,30-49,declared,,0.4065497348315227,0.3869162492547132
GUNCONTRIBC_W26,age,older_adult,65+,declared,,0.6459817790335955,0.44100169256731453
GUNCONTRIBC_W26,education,some schooling,Less than high school,declared,,1.0335128241794962,0.42120753462034133
GUNCONTRIBC_W26,education,high school,High school graduate,declared,,0.28727455892096276,0.2872745589209628
GUNCONTRIBC_W26,education,college and more,College graduate/some postgrad,declared,,0.661910340345728,0.5277341446192725
GUNCONTRIBC_W26,socioeco,low,"Less than $30,000",declared,,0.6179932546251822,0.386678944117661
GUNCONTRIBC_W26,socioeco,mid,"$50,000-$75,000",declared,,0.5526930028792107,0.37916741087648387
GUNCONTRIBC_W26,socioeco,high,"$100,000 or more",declared,,0.4826020664158878,0.33211198511546164
GUNCONTRIBE_W26,gender,male,Male,declared,,0.46214018797233686,0.44656933267138915
GUNCONTRIBE_W26,gender,female,Female,declared,,0.4413881180810495,0.3177135501498645
GUNCONTRIBE_W26,age,adult,30-49,declared,,0.33367550457594897,0.23739876945435834
GUNCONTRIBE_W26,age,older_adult,65+,declared,,0.7569083026803453,0.5179769346384423
GUNCONTRIBE_W26,education,some schooling,Less than high school,declared,,1.327725719897521,0.6417697955584767
GUNCONTRIBE_W26,education,high school,High school graduate,declared,,0.3404411723797421,0.340441172379742
GUNCONTRIBE_W26,education,college and more,College graduate/some postgrad,declared,,0.49116691398357476,0.3625874877883499
GUNCONTRIBE_W26,socioeco,low,"Less than $30,000",declared,,0.5995235915453465,0.39836761407283405
GUNCONTRIBE_W26,socioeco,mid,"$50,000-$75,000",declared,,0.30429142751617744,0.2915525747458014
GUNCONTRIBE_W26,socioeco,high,"$100,000 or more",declared,,0.660648100501777,0.4178776786834938
GUNCONTRIBF_W26,gender,male,Male,declared,,0.7886732998987673,0.5287322447361147
GUNCONTRIBF_W26,gender,female,Female,declared,,0.587733468487342,0.5188690762247695
GUNCONTRIBF_W26,age,adult,30-49,declared,,0.680941641230161,0.413875104897345
GUNCONTRIBF_W26,age,older_adult,65+,declared,,0.5407677200000001,0.41886053
GUNCONTRIBF_W26,education,some schooling,Less than high school,declared,,1.2156290190304437,0.6195688940041741
GUNCONTRIBF_W26,education,high school,High school graduate,declared,,0.4629676243328549,0.43115889667654167
GUNCONTRIBF_W26,education,college and more,College graduate/some postgrad,declared,,0.45866953000000016,0.42503211999999996
GUNCONTRIBF_W26,socioeco,low,"Less than $30,000",declared,,0.6701466838512604,0.5245381285976649
GUNCONTRIBF_W26,socioeco,mid,"$50,000-$75,000",declared,,0.9615997300000004,0.5837242
GUNCONTRIBF_W26,socioeco,high,"$100,000 or more",declared,,0.9557567918281203,0.5399802189274657
GUNFRIEND_W26,gender,male,Male,declared,,0.8106623647301633,0.4028770566007736
GUNFRIEND_W26,gender,female,Female,declared,,0.6813690642480945,0.42231098228269004
GUNFRIEND_W26,age,adult,30-49,declared,,0.6055567725597503,0.4395140739870167
GUNFRIEND_W26,age,older_adult,65+,declared,,0.6780196337373857,0.5308566214996868
GUNFRIEND_W26,education,some schooling,Less than high school,declared,,0.9724841607108891,0.4804444622483567
GUNFRIEND_W26,education,high school,High school graduate,declared,,0.6873011000623133,0.40303355161400334
GUNFRIEND_W26,education,college and more,College graduate/some postgrad,declared,,0.5606206219508951,0.5245954860244363
GUNFRIEND_W26,socioeco,low,"Less than $30,000",declared,,0.6861254777057313,0.3887884447323609
GUNFRIEND_W26,socioeco,mid,"$50,000-$75,000",declared,,0.5037202199999999,0.3855671
GUNFRIEND_W26,socioeco,high,"$100,000 or more",declared,,0.4611879590559449,0.37437742166026083
GUNIDENTITY_W26,gender,male,Male,declared,,1.1888091699999999,0.58836435
GUNIDENTITY_W26,gender,female,Female,declared,,0.4796203377406174,0.25930197730844057
GUNIDENTITY_W26,age,adult,30-49,declared,,0.9471826964330887,0.47504742957157986
GUNIDENTITY_W26,age,older_adult,65+,declared,,0.24721081691343108,0.15443600168931615
GUNIDENTITY_W26,education,some schooling,Less than high school,declared,,1.9034760175117933,0.7293594516361865
GUNIDENTITY_W26,education,high school,High school graduate,declared,,1.1083483892651813,0.4902257529788545
GUNIDENTITY_W26,education,college and more,College graduate/some postgrad,declared,,0.2781545860790422,0.24184439858245355
GUNIDENTITY_W26,socioeco,low,"Less than $30,000",declared,,0.47983504000000005,0.23114901999999998
GUNIDENTITY_W26,socioeco,mid,"$50,000-$75,000",declared,,0.5591234586838569,0.2629847891374054
GUNIDENTITY_W26,socioeco,high,"$100,000 or more",declared,,0.6337472414628511,0.3301283788063081
GUNLOADED1_W26,gender,male,Male,declared,,0.3179793064454102,0.3179793064454103
GUNLOADED1_W26,gender,female,Female,declared,,0.2016569930565538,0.20165699305655382
GUNLOADED1_W26,age,adult,30-49,declared,,0.29660974135785945,0.29660974135785945
GUNLOADED1_W26,age,older_adult,65+,declared,,0.49116207603788836,0.3331498342455957
GUNLOADED1_W26,education,some schooling,Less than high school,declared,,0.2839214453434382,0.2839214453434382
GUNLOADED1_W26,education,high school,High school graduate,declared,,0.32387997677649416,0.3238799767764942
GUNLOADED1_W26,education,college and more,College graduate/some postgrad,declared,,0.12177238328776946,0.11391789348191658
GUNLOADED1_W26,socioeco,low,"Less than $30,000",declared,,0.26762753205159995,0.26762753205159995
GUNLOADED1_W26,socioeco,mid,"$50,000-$75,000",declared,,0.17733168781868286,0.15193192947737433
GUNLOADED1_W26,socioeco,high,"$100,000 or more",declared,,0.268776068665915,0.26877606866591497
GUNLOADED2_W26,gender,male,Male,declared,,0.4895224730512625,0.4895224730512625
GUNLOADED2_W26,gender,female,Female,declared,,0.5239592743222072,0.5239592743222072
GUNLOADED2_W26,age,adult,30-49,declared,,0.44600636382202286,0.4460063638220229
GUNLOADED2_W26,age,older_adult,65+,declared,,0.537142002148561,0.537142002148561
GUNLOADED2_W26,education,some schooling,Less than high school,declared,,0.1709854415704154,0.1709854415704154
GUNLOADED2_W26,education,high school,High school graduate,declared,,0.598925081327814,0.598925081327814
GUNLOADED2_W26,education,college and more,College graduate/some postgrad,declared,,0.4549831463330783,0.45498314633307835
GUNLOADED2_W26,socioeco,low,"Less than $30,000",declared,,0.19576383999999997,0.19576383999999997
GUNLOADED2_W26,socioeco,mid,"$50,000-$75,000",declared,,0.52035199,0.52035199
GUNLOADED2_W26,socioeco,high,"$100,000 or more",declared,,0.5066530867407835,0.5066530867407835
GUNLOCKED1_W26,gender,male,Male,declared,,0.17048937997848218,0.1704893799784823
GUNLOCKED1_W26,gender,female,Female,declared,,0.2862897063104559,0.17527409470713373
GUNLOCKED1_W26,age,adult,30-49,declared,,0.2780533356590172,0.17566406237512783
GUNLOCKED1_W26,age,older_adult,65+,declared,,0.42612198707200727,0.272553683915313
GUNLOCKED1_W26,education,some schooling,Less than high school,declared,,0.15293760537510315,0.0775801598469956
GUNLOCKED1_W26,education,high school,High school graduate,declared,,0.28911111235362663,0.1523276887463404
GUNLOCKED1_W26,education,college and more,College graduate/some postgrad,declared,,0.3196710050911602,0.22744983291089038
GUNLOCKED1_W26,socioeco,low,"Less than $30,000",declared,,0.25842561222769184,0.20779873841925714
GUNLOCKED1_W26,socioeco,mid,"$50,000-$75,000",declared,,0.33422071745665777,0.24142599091930947
GUNLOCKED1_W26,socioeco,high,"$100,000 or more",declared,,0.22811570960982758,0.14698015204528758
GUNLOCKED2_W26,gender,male,Male,declared,,0.32457711254739346,0.32457711254739346
GUNLOCKED2_W26,gender,female,Female,declared,,0.3641268160467318,0.3641268160467318
GUNLOCKED2_W26,age,adult,30-49,declared,,0.28259874,0.28259873999999996
GUNLOCKED2_W26,age,older_adult,65+,declared,,0.451179340264964,0.451179340264964
GUNLOCKED2_W26,education,some schooling,Less than high school,declared,,0.5356168030600583,0.5356168030600583
GUNLOCKED2_W26,education,high school,High school graduate,declared,,0.1709694103625894,0.1709694103625894
GUNLOCKED2_W26,education,college and more,College graduate/some postgrad,declared,,0.06444108313380426,0.06444108313380426
