attribute,class_label,group,n_questions,wasserstein_mean,wasserstein_median,wasserstein_std,total_variation_mean,total_variation_median,total_variation_std,channel,magnitude
age,older_adult,65+,490,0.6187521628769085,0.5257800666326586,0.41027551814310786,0.4497343983105277,0.44516238754305015,0.1859485864296363,steered,3.0
age,older_adult,65+,490,0.6467064251432713,0.5650158626260592,0.41478609689472834,0.47931608121777836,0.4815023795072839,0.19633466288384097,steered,5.0
age,older_adult,65+,490,0.674767594369036,0.6211940951064707,0.41663603245661207,0.5176701108731016,0.5364771262810967,0.20518748893826189,steered,7.0
age,older_adult,65+,490,0.7054868663263659,0.6652895166063375,0.4154731709268839,0.556008762001973,0.5866261138687698,0.20452807946185345,steered,9.0
age,older_adult,65+,490,0.7063800992157385,0.6667989704917566,0.4108187641266798,0.5738998499150313,0.5909062712293164,0.2039321828006599,steered,13.0
education,some schooling,Less than high school,494,0.6164375866065301,0.5547945426673104,0.4134198093296152,0.42094056408061714,0.4235492954304605,0.17537825136567273,steered,0.0
education,some schooling,Less than high school,494,0.617318092294492,0.557639584372597,0.41438937943956555,0.4210661877125136,0.42363848785633673,0.17468172244671099,steered,1.0
education,some schooling,Less than high school,494,0.612616458139554,0.5449364765975785,0.43168928868087036,0.41164090761080274,0.40866711710918435,0.18263674471218314,steered,3.0
education,some schooling,Less than high school,494,0.6034348859170457,0.5278933135694648,0.4307018125813671,0.40089974616935536,0.3933596235527938,0.18759515280594208,steered,5.0
education,some schooling,Less than high school,494,0.5838828990981808,0.5176139900471658,0.40187020281387004,0.39357347562778805,0.3844170557043889,0.1757506493838593,steered,7.0
education,some schooling,Less than high school,494,0.5608772411766091,0.5004117496931815,0.37680862499082685,0.3898873547523663,0.39116700166616253,0.16835875291983746,steered,9.0
education,some schooling,Less than high school,494,0.5111255145352909,0.4514065009135466,0.3393348637702618,0.3799840128435089,0.3678813744652033,0.1663485229691153,steered,13.0
education,high school,High school graduate,494,0.6059488828079087,0.553282432493485,0.38655417362569044,0.42266243649248375,0.42559577987819913,0.17443656081629366,steered,0.0
education,high school,High school graduate,494,0.5935641795219891,0.5400783640420774,0.3804396369885379,0.41739151217130555,0.41329637718720647,0.17445546685170035,steered,1.0
education,high school,High school graduate,494,0.5761197726066445,0.5279061098920608,0.37728691070115444,0.40838763899346986,0.4091949117322641,0.18066044495035669,steered,3.0
education,high school,High school graduate,494,0.5592918635019273,0.4824187851458426,0.3888029815306326,0.39720275497944135,0.3796561321950699,0.19294922286090999,steered,5.0
education,high school,High school graduate,494,0.5215986604026486,0.4265803515368267,0.3832485646248122,0.3711122479996208,0.33365776737746,0.19661089884497,steered,7.0
