attribute,channel,magnitude,regime,model_class,n,mean_margin,ci95,median_margin,fraction_negative
education,declared,,Declared,high school,486,0.01582675908380651,0.00963254540109432,0.009692170617229254,0.44650205761316875
education,steered,0.0,Neutral (N=0),high school,486,0.01847935538756889,0.009999219881996013,0.014343125903051424,0.43209876543209874
education,steered,2.0,Steered N=2,high school,486,0.01915089863187262,0.010072324277942801,0.013545643865882057,0.43209876543209874
education,steered,4.0,Steered N=4,high school,486,0.0182374968357713,0.010245448507648249,0.012693580472939586,0.43621399176954734
education,steered,6.0,Steered N=6,high school,486,0.019692081536649992,0.010190586790301933,0.01269358047293953,0.43209876543209874
education,steered,8.0,Steered N=8,high school,486,0.020144918225550788,0.01026538418007015,0.01769707941483381,0.4279835390946502
education,steered,10.0,Steered N=10,high school,486,0.020599970013863572,0.01012734625533108,0.017827916171292535,0.42592592592592593
education,steered,12.0,Steered N=12,high school,486,0.018672014283331647,0.010361744793654164,0.01738814133548372,0.42592592592592593
education,steered,14.0,Steered N=14,high school,486,0.018095496739697826,0.010415967026671214,0.014351036906723846,0.4382716049382716
education,steered,16.0,Steered N=16,high school,486,0.017219290631370624,0.010336364704760877,0.012051595472939575,0.4382716049382716
education,steered,18.0,Steered N=18,high school,486,0.019104028505410982,0.010103291356999453,0.01205159547293952,0.43415637860082307
education,steered,20.0,Steered N=20,high school,486,0.013652175574520945,0.00975800386398748,0.009030166387065261,0.4609053497942387
education,declared,,Declared,college and more,486,-0.07831718392597253,0.015141942234839039,-0.07037070834203091,0.7119341563786008
education,steered,0.0,Neutral (N=0),college and more,486,-0.07485281089427101,0.015942490051457987,-0.06532197455908262,0.6790123456790124
education,steered,2.0,Steered N=2,college and more,486,-0.07375626933915172,0.016013166946474547,-0.06480266755396057,0.6748971193415638
education,steered,4.0,Steered N=4,college and more,486,-0.07164737415794821,0.016063802801939496,-0.06454454505396054,0.6728395061728395
education,steered,6.0,Steered N=6,college and more,486,-0.07042349838613735,0.01577622237183781,-0.06313747000000003,0.6707818930041153
education,steered,8.0,Steered N=8,college and more,486,-0.06897156836656575,0.01606266651054154,-0.06286690500000008,0.6707818930041153
education,steered,10.0,Steered N=10,college and more,486,-0.0691063460216679,0.016165397368455806,-0.0645445450539606,0.6728395061728395
