qkey,attribute,channel,magnitude,regime,model_class,own_human_group,distance_own,mean_distance_others,specificity_margin
GROWUPGUN2A_W26,gender,steered,12.0,Steered N=12,female,Female,0.39295985,0.41941793000000005,-0.02645808000000005
GROWUPGUN2A_W26,gender,steered,14.0,Steered N=14,female,Female,0.3828216162647075,0.40927969626470756,-0.02645808000000005
GROWUPGUN2A_W26,gender,steered,16.0,Steered N=16,female,Female,0.35495255289922056,0.3814106328992206,-0.02645808000000005
GROWUPGUN2A_W26,gender,steered,18.0,Steered N=18,female,Female,0.32097222,0.3474303,-0.02645808000000005
GROWUPGUN2A_W26,gender,steered,20.0,Steered N=20,female,Female,0.2847028207917286,0.31116090079172865,-0.02645808000000005
GROWUPGUN2A_W26,age,declared,,Declared,adult,30-49,0.05695180141586187,0.29444412858413815,-0.23749232716827628
GROWUPGUN2A_W26,age,steered,0.0,Neutral (N=0),adult,30-49,0.006732250494659642,0.35812818049465966,-0.35139593
GROWUPGUN2A_W26,age,steered,2.0,Steered N=2,adult,30-49,0.08688391768617454,0.2645120123138255,-0.17762809462765095
GROWUPGUN2A_W26,age,steered,4.0,Steered N=4,adult,30-49,0.14693159,0.20446434000000002,-0.05753275000000002
GROWUPGUN2A_W26,age,steered,6.0,Steered N=6,adult,30-49,0.15304839000000003,0.19834754,-0.045299149999999955
GROWUPGUN2A_W26,age,steered,8.0,Steered N=8,adult,30-49,0.1260573469780566,0.22533858302194343,-0.09928123604388683
GROWUPGUN2A_W26,age,steered,10.0,Steered N=10,adult,30-49,0.10232675000000002,0.24906918,-0.14674242999999998
GROWUPGUN2A_W26,age,steered,12.0,Steered N=12,adult,30-49,0.098808554656871,0.25258737534312903,-0.15377882068625803
GROWUPGUN2A_W26,age,steered,14.0,Steered N=14,adult,30-49,0.11364576376663837,0.23775016623336165,-0.12410440246672327
GROWUPGUN2A_W26,age,steered,16.0,Steered N=16,adult,30-49,0.13889609999999997,0.21249983000000006,-0.07360373000000009
GROWUPGUN2A_W26,age,steered,18.0,Steered N=18,adult,30-49,0.17190658999999997,0.17948934000000005,-0.0075827500000000825
GROWUPGUN2A_W26,age,steered,20.0,Steered N=20,adult,30-49,0.202400635779327,0.14899529422067304,0.05340534155865395
GROWUPGUN2A_W26,age,declared,,Declared,older_adult,65+,0.6344321195945927,0.28303618959459265,0.35139593
GROWUPGUN2A_W26,age,steered,0.0,Neutral (N=0),older_adult,65+,0.35812818049465966,0.006732250494659642,0.35139593
GROWUPGUN2A_W26,age,steered,2.0,Steered N=2,older_adult,65+,0.3094029290329021,0.041993000967097904,0.2674099280658042
GROWUPGUN2A_W26,age,steered,4.0,Steered N=4,older_adult,65+,0.2486512727896476,0.10274465721035242,0.14590661557929518
GROWUPGUN2A_W26,age,steered,6.0,Steered N=6,older_adult,65+,0.16691691475832166,0.18447901524167837,-0.017562100483356713
GROWUPGUN2A_W26,age,steered,8.0,Steered N=8,older_adult,65+,0.12557400351803427,0.22582192648196575,-0.10024792296393148
GROWUPGUN2A_W26,age,steered,10.0,Steered N=10,older_adult,65+,0.18961711456067232,0.1617788154393277,0.027838299121344612
GROWUPGUN2A_W26,age,steered,12.0,Steered N=12,older_adult,65+,0.3169565692595113,0.0344393607404887,0.2825172085190226
GROWUPGUN2A_W26,age,steered,14.0,Steered N=14,older_adult,65+,0.40832924200069154,0.056933312000691516,0.35139593
GROWUPGUN2A_W26,age,steered,16.0,Steered N=16,older_adult,65+,0.4492150432272656,0.09781911322726555,0.35139593
GROWUPGUN2A_W26,age,steered,18.0,Steered N=18,older_adult,65+,0.461923314260991,0.11052738426099096,0.35139593
GROWUPGUN2A_W26,age,steered,20.0,Steered N=20,older_adult,65+,0.46663292208339946,0.11523699208339944,0.35139593
GROWUPGUN2A_W26,education,declared,,Declared,some schooling,Less than high school,0.23532074999999997,0.07429549499999999,0.16102525499999998
GROWUPGUN2A_W26,education,steered,0.0,Neutral (N=0),some schooling,Less than high school,0.031912839505340296,0.12911241549465968,-0.09719957598931939
GROWUPGUN2A_W26,education,steered,2.0,Steered N=2,some schooling,Less than high school,0.030399724728073174,0.19142497972807315,-0.16102525499999998
GROWUPGUN2A_W26,education,steered,4.0,Steered N=4,some schooling,Less than high school,0.04615982955088049,0.20718508455088047,-0.16102525499999998
GROWUPGUN2A_W26,education,steered,6.0,Steered N=6,some schooling,Less than high school,0.025365631382151643,0.13565962361784834,-0.11029399223569669
GROWUPGUN2A_W26,education,steered,8.0,Steered N=8,some schooling,Less than high school,0.18951670423345623,0.028491449233456256,0.16102525499999998
GROWUPGUN2A_W26,education,steered,10.0,Steered N=10,some schooling,Less than high school,0.35929327999999994,0.19826802499999996,0.16102525499999998
GROWUPGUN2A_W26,education,steered,12.0,Steered N=12,some schooling,Less than high school,0.46729550743317955,0.30627025243317957,0.16102525499999998
GROWUPGUN2A_W26,education,steered,14.0,Steered N=14,some schooling,Less than high school,0.523816025737564,0.36279077073756405,0.16102525499999998
GROWUPGUN2A_W26,education,steered,16.0,Steered N=16,some schooling,Less than high school,0.5460741167597617,0.3850488617597617,0.16102525499999998
GROWUPGUN2A_W26,education,steered,18.0,Steered N=18,some schooling,Less than high school,0.5457996450780553,0.3847743900780554,0.16102525499999992
GROWUPGUN2A_W26,education,steered,20.0,Steered N=20,some schooling,Less than high school,0.5346006863906505,0.3735754313906505,0.16102525499999998
GROWUPGUN2A_W26,education,declared,,Declared,high school,High school graduate,0.10429650889128184,0.07543693499999998,0.028859573891281853
GROWUPGUN2A_W26,education,steered,0.0,Neutral (N=0),high school,High school graduate,0.1392638004946597,0.07543693499999998,0.06382686549465971
GROWUPGUN2A_W26,education,steered,2.0,Steered N=2,high school,High school graduate,0.12398425000000002,0.07543693499999998,0.048547315000000035
GROWUPGUN2A_W26,education,steered,4.0,Steered N=4,high school,High school graduate,0.1332623293707691,0.07543693499999998,0.05782539437076911
GROWUPGUN2A_W26,education,steered,6.0,Steered N=6,high school,High school graduate,0.14869848000000008,0.07543693499999998,0.0732615450000001
GROWUPGUN2A_W26,education,steered,8.0,Steered N=8,high school,High school graduate,0.17863551,0.08289580499999999,0.09573970500000001
GROWUPGUN2A_W26,education,steered,10.0,Steered N=10,high school,High school graduate,0.2241471484019335,0.1284074434019335,0.09573970500000001
GROWUPGUN2A_W26,education,steered,12.0,Steered N=12,high school,High school graduate,0.2648185685226053,0.16907886352260532,0.09573970500000001
GROWUPGUN2A_W26,education,steered,14.0,Steered N=14,high school,High school graduate,0.2916926749324742,0.19595296993247419,0.09573970500000001
GROWUPGUN2A_W26,education,steered,16.0,Steered N=16,high school,High school graduate,0.30064574,0.204906035,0.09573970500000001
GROWUPGUN2A_W26,education,steered,18.0,Steered N=18,high school,High school graduate,0.29590815480600985,0.20016844980600984,0.09573970500000001
GROWUPGUN2A_W26,education,steered,20.0,Steered N=20,high school,High school graduate,0.28155753000000006,0.18581782500000005,0.09573970500000001
GROWUPGUN2A_W26,education,declared,,Declared,college and more,College graduate/some postgrad,0.217636476545077,0.15235092654507704,0.06528554999999997
GROWUPGUN2A_W26,education,steered,0.0,Neutral (N=0),college and more,College graduate/some postgrad,0.11896103049465967,0.08558832,0.033372710494659674
GROWUPGUN2A_W26,education,steered,2.0,Steered N=2,college and more,College graduate/some postgrad,0.04339332437597099,0.10867887437597096,-0.06528554999999997
GROWUPGUN2A_W26,education,steered,4.0,Steered N=4,college and more,College graduate/some postgrad,0.2483000605231731,0.3135856105231731,-0.06528554999999997
GROWUPGUN2A_W26,education,steered,6.0,Steered N=6,college and more,College graduate/some postgrad,0.35653806169375085,0.4218236116937508,-0.06528554999999997
GROWUPGUN2A_W26,education,steered,8.0,Steered N=8,college and more,College graduate/some postgrad,0.38191435817720065,0.4471999081772006,-0.06528554999999997
GROWUPGUN2A_W26,education,steered,10.0,Steered N=10,college and more,College graduate/some postgrad,0.3704374261248627,0.43572297612486266,-0.06528554999999997
GROWUPGUN2A_W26,education,steered,12.0,Steered N=12,college and more,College graduate/some postgrad,0.3481827543202307,0.4134683043202307,-0.06528554999999997
GROWUPGUN2A_W26,education,steered,14.0,Steered N=14,college and more,College graduate/some postgrad,0.32978763234406655,0.3950731823440665,-0.06528554999999997
GROWUPGUN2A_W26,education,steered,16.0,Steered N=16,college and more,College graduate/some postgrad,0.31217858,0.37746412999999995,-0.06528554999999997
GROWUPGUN2A_W26,education,steered,18.0,Steered N=18,college and more,College graduate/some postgrad,0.29755067200069146,0.36283622200069143,-0.06528554999999997
GROWUPGUN2A_W26,education,steered,20.0,Steered N=20,college and more,College graduate/some postgrad,0.2859374983477037,0.3512230483477037,-0.06528554999999997
GROWUPGUN2A_W26,socioeco,declared,,Declared,low,"Less than $30,000",0.03208834713373676,0.06560556286626329,-0.03351721573252653
GROWUPGUN2A_W26,socioeco,steered,0.0,Neutral (N=0),low,"Less than $30,000",0.03217136049465963,0.12986527049465968,-0.09769391000000005
GROWUPGUN2A_W26,socioeco,steered,2.0,Steered N=2,low,"Less than $30,000",0.05052465895474134,0.1482185689547414,-0.09769391000000005
GROWUPGUN2A_W26,socioeco,steered,4.0,Steered N=4,low,"Less than $30,000",0.08323084202644404,0.1809247520264441,-0.09769391000000005
GROWUPGUN2A_W26,socioeco,steered,6.0,Steered N=6,low,"Less than $30,000",0.08965965999999992,0.18735356999999997,-0.09769391000000005
GROWUPGUN2A_W26,socioeco,steered,8.0,Steered N=8,low,"Less than $30,000",0.06530287999999995,0.16299679,-0.09769391000000005
GROWUPGUN2A_W26,socioeco,steered,10.0,Steered N=10,low,"Less than $30,000",0.04394018084772422,0.14163409084772427,-0.09769391000000005
GROWUPGUN2A_W26,socioeco,steered,12.0,Steered N=12,low,"Less than $30,000",0.041242050766780225,0.13893596076678028,-0.09769391000000005
GROWUPGUN2A_W26,socioeco,steered,14.0,Steered N=14,low,"Less than $30,000",0.05581397879606187,0.15350788879606192,-0.09769391000000005
GROWUPGUN2A_W26,socioeco,steered,16.0,Steered N=16,low,"Less than $30,000",0.07124929666600455,0.1689432066660046,-0.09769391000000005
GROWUPGUN2A_W26,socioeco,steered,18.0,Steered N=18,low,"Less than $30,000",0.08160787197775488,0.17930178197775493,-0.09769391000000005
GROWUPGUN2A_W26,socioeco,steered,20.0,Steered N=20,low,"Less than $30,000",0.08645791787674362,0.18415182787674367,-0.09769391000000005
