attribute,channel,magnitude,regime,model_class,n,mean_margin,ci95,median_margin,fraction_negative
age,steered,20.0,Steered N=20,adult,482,-0.03688425705273899,0.019147312061526867,-0.0281958199999999,0.58298755186722
age,declared,,Declared,older_adult,482,0.05062574756330154,0.018471590609682592,0.027899665702462426,0.4024896265560166
age,steered,0.0,Neutral (N=0),older_adult,482,0.024980509211169538,0.017406131028125986,0.015274096810802856,0.44190871369294604
age,steered,2.0,Steered N=2,older_adult,482,0.026284102773173987,0.0176976837542833,0.02309822500000005,0.4190871369294606
age,steered,4.0,Steered N=4,older_adult,482,0.03466223860234498,0.017536040909918726,0.025029753175284164,0.4066390041493776
age,steered,6.0,Steered N=6,older_adult,482,0.04354478405294434,0.017895951108043366,0.02654897507821949,0.3921161825726141
age,steered,8.0,Steered N=8,older_adult,482,0.03857078281565137,0.017250117606390596,0.024114301276734973,0.4107883817427386
age,steered,10.0,Steered N=10,older_adult,482,0.036720866655223054,0.016987038780440805,0.021896947386326082,0.4211618257261411
age,steered,12.0,Steered N=12,older_adult,482,0.036088903460960574,0.01717376205694634,0.015281354310802853,0.43775933609958506
age,steered,14.0,Steered N=14,older_adult,482,0.036518072103810466,0.017607423545763026,0.01757300042760888,0.42946058091286304
age,steered,16.0,Steered N=16,older_adult,482,0.03515103366671299,0.01787214667031378,0.014449842500000115,0.43775933609958506
age,steered,18.0,Steered N=18,older_adult,482,0.03570698662329041,0.017983974765214485,0.015250731363056935,0.4315352697095436
age,steered,20.0,Steered N=20,older_adult,482,0.036796794745313284,0.01800378363799459,0.015250731363056935,0.42946058091286304
education,declared,,Declared,some schooling,486,0.01592416535435282,0.018345470629466367,-0.0011254199019521405,0.5020576131687243
education,steered,0.0,Neutral (N=0),some schooling,486,0.005219890913918597,0.016953173991051833,-0.017029575307017153,0.5473251028806584
education,steered,2.0,Steered N=2,some schooling,486,0.0028636949010790273,0.016924285742684828,-0.019264970000244325,0.551440329218107
education,steered,4.0,Steered N=4,some schooling,486,-9.11160491647225e-05,0.01672439584954178,-0.02291292931982314,0.5720164609053497
education,steered,6.0,Steered N=6,some schooling,486,-0.002212415426462974,0.016825700857593027,-0.024791648727996635,0.5720164609053497
education,steered,8.0,Steered N=8,some schooling,486,-0.007693025113569617,0.016378058966335946,-0.021955770131695418,0.5864197530864198
education,steered,10.0,Steered N=10,some schooling,486,-0.018342762654628777,0.015873412991958574,-0.029544046130732277,0.6069958847736625
education,steered,12.0,Steered N=12,some schooling,486,-0.025954860367740144,0.015615063624441204,-0.035230348236320985,0.6255144032921811
education,steered,14.0,Steered N=14,some schooling,486,-0.029720668610666703,0.015579880271278719,-0.03738969421789068,0.6316872427983539
education,steered,16.0,Steered N=16,some schooling,486,-0.030188997146026415,0.015362977960279066,-0.03657339772285956,0.6440329218106996
education,steered,18.0,Steered N=18,some schooling,486,-0.030090298791987116,0.015038979768095278,-0.032740118879254015,0.6275720164609053
education,steered,20.0,Steered N=20,some schooling,486,-0.030518905015068126,0.014980613287444444,-0.03564149130815353,0.6419753086419753
education,declared,,Declared,high school,486,-0.01462262656779157,0.010023376184215843,-0.013791393395761742,0.5740740740740741
education,steered,0.0,Neutral (N=0),high school,486,-0.010772145124720354,0.009560872925083867,-0.00922179073027321,0.5534979423868313
education,steered,2.0,Steered N=2,high school,486,-0.008119229794064821,0.009935827931035979,-0.008108142500000026,0.5288065843621399
education,steered,4.0,Steered N=4,high school,486,-0.007354249775610627,0.010466005936757094,-0.010533885371327142,0.5349794238683128
education,steered,6.0,Steered N=6,high school,486,-0.006874929147445151,0.010198007608696831,-0.008541842500000063,0.5329218106995884
education,steered,8.0,Steered N=8,high school,486,-0.004058759575603287,0.010000373497744127,-0.011086286425884884,0.5473251028806584
education,steered,10.0,Steered N=10,high school,486,0.006015895425298378,0.010152527380030378,-0.00024010360634395267,0.5041152263374485
education,steered,12.0,Steered N=12,high school,486,0.011953656559908096,0.01077023258787178,0.006800672796711149,0.4773662551440329
education,steered,14.0,Steered N=14,high school,486,0.014280549822171982,0.010930397257164918,0.007097382402865476,0.4794238683127572
education,steered,16.0,Steered N=16,high school,486,0.015347357126705645,0.011110526222878484,0.010109502626187136,0.4691358024691358
education,steered,18.0,Steered N=18,high school,486,0.01562815948082587,0.011156390244708238,0.01121221873023752,0.4567901234567901
education,steered,20.0,Steered N=20,high school,486,0.015445857025782743,0.011104331214906229,0.011027896710122845,0.4609053497942387
education,declared,,Declared,college and more,486,0.001823833916539633,0.01617950845173774,0.014372022117043803,0.448559670781893
education,steered,0.0,Neutral (N=0),college and more,486,0.005552254210801761,0.016203721417287587,0.01840891000000011,0.43621399176954734
education,steered,2.0,Steered N=2,college and more,486,0.007773413631262541,0.017310749957515106,0.018408910000000056,0.43415637860082307
education,steered,4.0,Steered N=4,college and more,486,0.012245438837374127,0.01760708698509486,0.02354421547311858,0.4218106995884774
education,steered,6.0,Steered N=6,college and more,486,0.02132779879234862,0.01710294154731386,0.025979516092569273,0.4176954732510288
education,steered,8.0,Steered N=8,college and more,486,0.02887349333588115,0.016499935084474913,0.03568429928314004,0.40329218106995884
education,steered,10.0,Steered N=10,college and more,486,0.029581512214554843,0.015718714620585213,0.026986829224256742,0.4074074074074074
education,steered,12.0,Steered N=12,college and more,486,0.03062568164746442,0.014973717754992684,0.025407133534962142,0.41358024691358025
education,steered,14.0,Steered N=14,college and more,486,0.031904452787798236,0.014540875357957842,0.027158023692340383,0.4094650205761317
education,steered,16.0,Steered N=16,college and more,486,0.03434330818851746,0.0143323742807379,0.03408460023896581,0.39094650205761317
education,steered,18.0,Steered N=18,college and more,486,0.03592232212796133,0.014617725305560707,0.033245619634074436,0.3888888888888889
